Description,Value,,,,,
,,,,,,
Max Score,8000,"These 4 settings are used to cap player score to min and max, then scale them to min and max percent",,,,
Min Score,2000,,,,,
Min Percent,0, ,,,,
Max Percent,95,,,,,
Excess Player Rank Multiplier,90,In case there aren't enough player rank multipliers,,,,
,,,,,,
Area Rank Multiplier,100,100,100,100,100,100
,,,,,,
Player Rank Multiplier,100,90,80,70,60,50
,,,,,,
Offer Points,0,0,0,,,
,These settings connect to CONTRACTLENGHTPLAYERAGE from TransfersPlayerContract.ini,,,,,
Years Added for Bucket,1,0,0,0,1,
,,,,,,
Rating / Overall,60,70,80,90,100,
0.5,0,0,0,0,0,
1,0,0,0,0,0,
1.5,0,0,0,0,0,
2,0,0,0,0,0,
2.5,1,1,0,0,0,
3,1,2,2,1,0,
3.5,2,3,3,2,1,
4,2,3,3,3,2,
4.5,3,3,3,3,3,
5,3,3,3,3,3,
,,,,,,
Age,19,23,27,31,40,
Modifier,3,2,1,-1,-2,
