Num buckets,5,,,,,,,,,,,,,,,,,,,,,,,
Num intervals,4,,,,,,,,,,,,,,,,,,,,,,,
,Inside transfer window,,,,,,Outside transfer window,,,,,,,,,,,,,,,,,
,Teams,Chance (%),Decay (%),Rate,Days,MaxSquadSize,Teams,Chance (%),Decay (%),Rate,Days,MaxSquadSize,Teams,Chance (%),Decay (%),Rate,Days,MaxSquadSize,Teams,Chance (%),Decay (%),Rate,Days,MaxSquadSize
Tier 1,6,80,5,DAILY,0,40,0,0,0,MONTHLY,30,40,2,20,10,BI_WEEKLY,60,40,2,25,15,WEEKLY,360,40
Tier 2,4,80,7,DAILY,0,40,0,0,0,MONTHLY,30,40,1,10,10,BI_WEEKLY,60,40,2,10,5,WEEKLY,360,40
Tier 3,3,80,10,DAILY,0,40,0,0,0,MONTHLY,30,40,1,5,5,BI_WEEKLY,60,40,1,5,5,WEEKLY,360,40
Tier 4,3,80,10,DAILY,0,40,0,0,0,MONTHLY,30,40,0,0,0,BI_WEEKLY,60,40,1,5,5,WEEKLY,360,40
Tier 5,3,80,5,DAILY,0,40,0,0,0,MONTHLY,30,40,0,0,0,BI_WEEKLY,60,40,0,0,0,WEEKLY,360,40
User Upgrade,3,80,7,DAILY,0,40,0,0,0,MONTHLY,30,40,1,10,10,BI_WEEKLY,60,40,2,10,5,WEEKLY,360,40
,,,,,,,,,,,,,,,,,,,,,,,,
,League ids,,,,,,,,,,,,,,,,,,,,,,,
Tier 1,13,16,19,31,53,,,,,,,,,,,,,,,,,,,
Tier 2,4,7,10,39,308,353,,,,,,,,,,,,,,,,,,
Tier 3,1,14,56,68,80,189,66,330,,,,,,,,,,,,,,,,
Tier 4,17,20,41,50,54,350,2012,,,,,,,,,,,,,,,,,
Tier 5,83,349,351,60,61,65,341,2076,,,,,,,,,,,,,,,,
