,Overall Diff,,,,,,,,,,,,,,,,,,,,
Ratio,-10,-10,-10,-5,-5,-5,-2,-2,-2,0,0,0,2,2,2,5,5,5,10,10,10
5,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000
-,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
4,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000
-,300,285,275,295,290,265,282,260,255,270,250,235,278,257,242,285,265,252,295,275,270
3.3,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000
-,205,192,190,195,182,180,187,175,167,180,168,160,185,173,165,192,180,173,200,190,185
2.7,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000
-,165,155,148,160,152,140,150,142,132,145,135,125,150,140,130,157,148,137,165,155,145
2.2,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000
-,115,102,98,105,95,88,95,87,80,85,80,70,95,85,78,103,92,85,110,100,95
1.75,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000
-,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
1.35,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000
-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000,10000,50000,150000
-,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
