Release Clause Score,35,,,,,,,,,,
Another Club Accepted,-175,,,,,,,,,,
Another Club Pending,-100,,,,,,,,,,
Free Agent Points,100,,,,,,,,,,
Is Transfer Listed,130,,,,,,,,,,
Is Loan Listed,166,,,,,,,,,,
Stay In Country Points,25,,,,,,,,,,
minLOBscore for Transfer,175,,,,,,,,,,
minLOBscore for Loan,166,,,,,,,,,,
User Buyer Preferred Position Score,0,,,,,,,,,,
,,,,,,,,,,,
Team Level Star Rank(0 based index),,,,,,,,,,,
0,-50,,,,,,,,,,
1,-50,,,,,,,,,,
2,-50,,,,,,,,,,
3,-50,,,,,,,,,,
4,-25,,,,,,,,,,
5,-20,,,,,,,,,,
6,0,,,,,,,,,,
7,10,,,,,,,,,,
8,20,,,,,,,,,,
9,25,,,,,,,,,,
10,30,,,,,,,,,,
11,50,,,,,,,,,,
12,60,,,,,,,,,,
,,,,,,,,,,,
Group Name(same order as in the table above),"//Comments(non empty content !! & do not use ',' !)",Nation Ids,,,,,,,,,
British Isles,//England;Scotland;Ireland;Northern;Ireland;Wales,14,42,25,35,50,,,,,
Latin Europe,//Italy;France;Spain;Portugal,45,38,18,27,,,,,,
Western Europe,//Austria;Belgium;Germany;Netherlands;Switzerland,4,7,34,47,21,,,,,
Nothern Europe,//Denmark;Finland;Iceland;Norway;Sweden,13,17,24,36,46,,,,,
Southern Europe,//Greece;Turkey;Croatia;Serbia;Slovenia,22,48,10,51,44,,,,,
Eastern Europe,//Russia;Ukraine;Poland;Romania;Bulgaria;Czech,40,49,37,39,9,12,,,,
North America,//Canada;Mexico;USA,70,83,95,,,,,,,
South America,//Argentina;Bolivia;Brazil;Chile;Colombia;Ecuador;Paraguay;Peru;Uruguay;Venezuela,52,53,54,55,56,57,58,59,60,61
Asia,//China;Japan;Korea;Saudi,155,163,167,183,,,,,,
Africa,//Cameroon;Ivory;Coast;Egypt,103,108,111,,,,,,,
Oceania,//Australia;New;Zealand,195,198,,,,,,,,
,,,,,,,,,,,
Nationality FromGroup\ToGroup,British Isles,Latin Europe,Western Europe,Nothern Europe,Southern Europe,Eastern Europe,North America,South America,Asia,Africa,Oceania
British Isles,51,-215,-220,-220,-220,-220,-220,-220,-220,-220,-220
Latin Europe,-16,47,-50,-400,-95,-95,-220,-220,-220,-220,-220
Western Europe,-39,-50,47,-95,-95,-95,-220,-220,-220,-220,-220
Nothern Europe,-39,-50,-60,45,-95,-95,-220,-220,-220,-220,-220
Southern Europe,-49,-60,-60,-60,45,45,-220,-220,-220,-220,-220
Eastern Europe,-44,-55,-60,-60,45,45,-220,-220,-220,-220,-220
North America,-39,-50,-60,-60,-95,-95,45,60,-250,-500,60
South America,-15,25,10,-60,-50,-10,45,60,-50,-500,-250
Asia,-39,-50,-60,-60,-95,-95,-220,-220,-220,-220,-220
Africa,25,25,25,25,25,25,-220,-220,-220,-220,-220
Oceania,-44,-45,-60,-60,-95,-95,-220,-220,45,-220,70
,,,,,,,,,,,
Team Overall >=,Score,,,,,,,,,,
85,111,,,,,,,,,,
84,106,,,,,,,,,,
82,92,,,,,,,,,,
79,62,,,,,,,,,,
74,60,,,,,,,,,,
1,58,,,,,,,,,,
,,,,,,,,,,,
League Rank,Score,,,,,,,,,,
0,5,,,,,,,,,,
1,0,,,,,,,,,,
2,0,,,,,,,,,,
3,0,,,,,,,,,,
4,0,,,,,,,,,,
,,,,,,,,,,,
Current Contract Years,Score,,,,,,,,,,
0,100,,,,,,,,,,
1,75,,,,,,,,,,
2,50,,,,,,,,,,
3,0,,,,,,,,,,
4,0,,,,,,,,,,
5,0,,,,,,,,,,
,,,,,,,,,,,
Offered Contract Years,Score,,,,,,,,,,
0,0,,,,,,,,,,
1,0,,,,,,,,,,
2,0,,,,,,,,,,
3,0,,,,,,,,,,
4,0,,,,,,,,,,
5,0,,,,,,,,,,
,,,,,,,,,,,
Offered Loan Length,Score,Comment,,,,,,,,,
6,20,Short-Term,,,,,,,,,
12,30,1-Year,,,,,,,,,
24,40,2-Years,,,,,,,,,
,,,,,,,,,,,
Time At Club,Score,,,,,,,,,,
6,-100,,,,,,,,,,
9,-100,,,,,,,,,,
24,0,,,,,,,,,,
36,0,,,,,,,,,,
48,0,,,,,,,,,,
60,0,,,,,,,,,,
,,,,,,,,,,,
Role Difference(Buyer-Seller),Score,"Do not leave gaps, i.e. you can not enter only ""+2"" and ""0"" diff(s), you must add for the ""+1"" diff a value too",,,,,,,,,
2,150,"The leftoutside diff(s) will use the edge values, i.e. a +3 or +4 will use the same value as for the +2 diff",,,,,,,,,
1,75,,,,,,,,,,
0,0,,,,,,,,,,
-1,0,,,,,,,,,,
-2,0,,,,,,,,,,
,,,,,,,,,,,
Player Overall >=, League Overall >=,,,,,,,,,,
84,76,,,,,,,,,,
68,67,,,,,,,,,,
65,62,,,,,,,,,,
60,57,,,,,,,,,,
50,0,,,,,,,,,,
1,0,,,,,,,,,,
,,,,,,,,,,,
Preferred Position Available,Score,Comment,,,,,,,,,
0,-1000,Fallback Case,,,,,,,,,
1,40,Player first preferred position found,,,,,,,,,
2,15,,,,,,,,,,
3,0,,,,,,,,,,
4,0,,,,,,,,,,
,,,,,,,,,,,
Play As Player Score Listed,Unlisted,,,,,,,,,,
275,225,,,,,,,,,,
